sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,total
291,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,grab,nodularin,0
292,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,grab,anatoxin,0
292,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,grab,cylindrospermopsin,0
292,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,grab,microcystin,0
292,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,grab,nodularin,0
293,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,grab,anatoxin,0
293,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,grab,cylindrospermopsin,0
293,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,grab,microcystin,0.385964787
293,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,grab,nodularin,0
294,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,grab,anatoxin,0
294,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,grab,cylindrospermopsin,0
294,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,grab,microcystin,0
294,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,grab,nodularin,0
295,BKS_UB_BU_SS,2025-08-19,upper brooks,buoy,surface,grab,anatoxin,0
